Date,Open,High,Low,Close,Volume,AdjClose
2012-08-03,613.63,617.98,611.56,615.70,12306500,615.70
2012-08-02,602.84,610.69,600.25,607.79,11862800,607.79
2012-08-01,615.91,616.40,603.00,606.81,13721700,606.81
2012-07-31,603.23,611.70,602.72,610.76,16494900,610.76
2012-07-30,590.92,599.44,587.82,595.03,13528100,595.03
2012-07-27,575.01,585.83,571.59,585.16,14426300,585.16
2012-07-26,579.76,580.40,570.36,574.88,14522600,574.88
2012-07-25,574.46,580.80,570.00,574.97,31332600,574.97
2012-07-24,607.38,609.68,598.51,600.92,20183300,600.92
2012-07-23,594.40,605.90,587.71,603.83,17427700,603.83